,timestamp,tvl usd value,liqw,date
160,1689620400,4129301.364138801498975968356810387,831518499388,2023-07-17 22:00:00
161,1689616800,4121582.313284221139478576803870952,829527366682,2023-07-17 21:00:00
162,1689613200,4166483.457961080688436154860833633,1263081192609,2023-07-17 20:00:00
163,1689609600,4171333.410004733349402707778244733,1261856585622,2023-07-17 19:00:00
164,1689606000,4167381.482643185771074025373665671,1259304482363,2023-07-17 18:00:00
165,1689602400,4168258.942222675903190094020144593,1257250422603,2023-07-17 17:00:00
166,1689598800,4166811.705579078146707105925362575,1258690859584,2023-07-17 16:00:00
167,1689595200,4160612.15024699450288100180828755,1257158757254,2023-07-17 15:00:00
168,1689591600,4175450.927741416823145493654910185,1260403218128,2023-07-17 14:00:00
169,1689588000,4170628.267594436484225019498071596,1260403218128,2023-07-17 13:00:00
170,1689584400,4180042.344678140960818790325392172,1325920557141,2023-07-17 12:00:00
171,1689580800,4185263.376075530225562470257386807,1325920557141,2023-07-17 11:00:00
172,1689577200,4182644.574154668412728631179330616,1325920557141,2023-07-17 10:00:00
173,1689573600,4182502.025375197139551959983320841,1325920557141,2023-07-17 09:00:00
174,1689570000,4183235.215879189329255233494065381,1327729747135,2023-07-17 08:00:00
175,1689566400,4182916.410657590352684120076326368,1325689242504,2023-07-17 07:00:00
176,1689562800,4180506.731149984605141907122306459,1325689242504,2023-07-17 06:00:00
177,1689559200,4180748.006000375171101215291913708,1325689242504,2023-07-17 05:00:00
178,1689555600,4184304.657912680475614368777333079,1326540900598,2023-07-17 04:00:00
179,1689552000,4182648.370899462444246814766874616,1328841502268,2023-07-17 03:00:00
180,1689548400,4180468.461614208568938716004231635,1328698428708,2023-07-17 02:00:00
181,1689544800,4183551.761259269530631506048950942,1328677979487,2023-07-17 01:00:00
182,1689541200,4180828.296407980807992728697880063,1328732247021,2023-07-17 00:00:00
183,1689537600,4186484.587384648199260324262588477,1328836734154,2023-07-16 23:00:00
184,1689534000,4186544.91970595934481121984537127,1328786624369,2023-07-16 22:00:00
185,1689530400,4189947.383005243071945104425737357,1326736621660,2023-07-16 21:00:00
186,1689526800,4190719.794799009095624774330214402,1325975367144,2023-07-16 20:00:00
187,1689523200,4191346.604459132265776194654098874,1325975367144,2023-07-16 19:00:00
188,1689519600,4190791.398778489957303612663518098,1326062988279,2023-07-16 18:00:00
189,1689516000,4189984.647547459211839171031688186,1328036813192,2023-07-16 17:00:00
190,1689512400,4186531.890637600584831359000311883,1328036813192,2023-07-16 16:00:00
191,1689508800,4184317.240537451973349532339028216,1327995110910,2023-07-16 15:00:00
192,1689505200,4171849.28669978111511279099781084,1316217171300,2023-07-16 14:00:00
193,1689501600,4161358.571316421491216528222397069,1310171519778,2023-07-16 13:00:00
194,1689498000,4158447.736298299972258605743921777,1309763271853,2023-07-16 12:00:00
195,1689494400,4158582.692542191307245333749083734,1309762977365,2023-07-16 11:00:00
196,1689487200,4158998.103639761562104309175251426,1309288120464,2023-07-16 09:00:00
197,1689483600,4154833.888946122626248549234496902,1309098496856,2023-07-16 08:00:00
198,1689480000,4152591.875714807418883789242492967,1309055263617,2023-07-16 07:00:00
199,1689476400,4154748.034580805675609242274265728,1310052317507,2023-07-16 06:00:00
200,1689472800,4154481.141464819530143836230687595,1309399487677,2023-07-16 05:00:00
201,1689469200,4157711.281945404269432473486930366,1309254205699,2023-07-16 04:00:00
202,1689465600,4158224.835123962062663372390194242,1308943757342,2023-07-16 03:00:00
203,1689458400,4161325.812437515315719242355632178,1308943757342,2023-07-16 01:00:00
204,1689454800,4162181.824886039985239159451946998,1308989500475,2023-07-16 00:00:00
205,1689451200,4160850.677674372115141610447542939,1308713950596,2023-07-15 23:00:00
206,1689447600,4158990.044522188053468861973944909,1308896948559,2023-07-15 22:00:00
207,1689444000,4158686.774127155447698422297144668,1307883059974,2023-07-15 21:00:00
208,1689440400,4144792.101756673689673947796455973,1275795940427,2023-07-15 20:00:00
209,1689436800,4144941.710061222111755765008429067,1276207330758,2023-07-15 19:00:00
210,1689433200,4151509.693585253872302466003127129,1278876183999,2023-07-15 18:00:00
211,1689429600,4155140.025495546900764137116015946,1279043406522,2023-07-15 17:00:00
212,1689426000,4155941.812733136593921506372394392,1279055426476,2023-07-15 16:00:00
213,1689422400,4153809.946079840345713008882653815,1278679494102,2023-07-15 15:00:00
214,1689418800,4141180.590138264515398439017350408,1273407461334,2023-07-15 14:00:00
215,1689415200,4140865.504166888300177887325391424,1273136621907,2023-07-15 13:00:00
216,1689411600,4139134.889570839398599530623503319,1273071432863,2023-07-15 12:00:00
217,1689408000,4135505.297540621133008677841594936,1271428811685,2023-07-15 11:00:00
218,1689404400,4136953.824062060218255124897362636,1271428811685,2023-07-15 10:00:00
219,1689400800,4138316.051662120651633936966046825,1271428811685,2023-07-15 09:00:00
220,1689397200,4139764.748432441091648732728286687,1271428811685,2023-07-15 08:00:00
221,1689393600,4138931.989120833276652836494225884,1271624552823,2023-07-15 07:00:00
222,1689390000,4139422.482788030487853692153569816,1271624552442,2023-07-15 06:00:00
223,1689386400,4140026.95015638531927022650545825,1271786690821,2023-07-15 05:00:00
224,1689382800,4139673.965640544653464741365983506,1272082940896,2023-07-15 04:00:00
225,1689379200,4133274.553013879414862045347526212,1268817217872,2023-07-15 03:00:00
226,1689375600,4130062.301273671079142903695728873,1268817178454,2023-07-15 02:00:00
227,1689372000,4125946.861042051846431125960312033,1230613361409,2023-07-15 01:00:00
228,1689368400,4122153.465653951419428049565189132,1229685363339,2023-07-15 00:00:00
229,1689364800,4123002.152318605076996381220525357,1230754372103,2023-07-14 23:00:00
230,1689361200,4120555.469387967044426168402513006,1230769200105,2023-07-14 22:00:00
231,1689357600,4144904.804273524575718913906117697,1230769200105,2023-07-14 21:00:00
232,1689354000,4182421.551399445035088759820217746,1197458954322,2023-07-14 20:00:00
233,1689350400,4206013.789507304625193623871420827,1162923163418,2023-07-14 19:00:00
234,1689346800,4217008.311171122822444903492490353,1164060895980,2023-07-14 18:00:00
235,1689343200,4213498.747336068783340828033568656,1164060895980,2023-07-14 17:00:00
236,1689339600,4211444.905279811181813776505411895,1164028488086,2023-07-14 16:00:00
237,1689336000,4206057.750101098243082158342566799,1131179679854,2023-07-14 15:00:00
238,1689332400,4208708.444232685014277162506777835,1131179679854,2023-07-14 14:00:00
239,1689328800,4208384.303284307912213508787060828,1130896777396,2023-07-14 13:00:00
240,1689325200,4196242.538993191607495642849173478,1131179680594,2023-07-14 12:00:00
241,1689321600,4196238.505574997493444375224370058,1131179680594,2023-07-14 11:00:00
242,1689318000,4197599.673374284781102222018866132,1131324155991,2023-07-14 10:00:00
243,1689314400,4218617.521036770677484834477664389,1074364325045,2023-07-14 09:00:00
244,1689310800,4221414.237795834240075767969922501,1074364265872,2023-07-14 08:00:00
245,1689307200,4223215.973052923221253031014383676,1074362330344,2023-07-14 07:00:00
246,1689303600,4223491.454900744662272620001242192,1074377158833,2023-07-14 06:00:00
247,1689300000,4224146.627790708833865008349787896,1074066149351,2023-07-14 05:00:00
