['N', 'date', 'time', 'timestamp', '1000', '50 000', '200 000', '300 000', '400 000', '500 000']
[124, '2023-07-23', '10:23:20', '1690107800.527474', 3.3427379999999996e-05, -0.16909616989937604, -0.3593244496070156, -0.44680898300840965, -0.5935841745939143, -0.7119713417124984]
[125, '2023-07-23', '11:05:49', '1690110349.030843', 3.341372e-05, -0.12816236492629685, -0.3183129084099221, -0.40576169151542274, -0.5524769038528632, -0.6353938418265699]
[126, '2023-07-23', '11:26:11', '1690111571.662858', 3.3417410000000004e-05, -0.10814914612514315, -0.3080870598197123, -0.4241233609297268, -0.5296533403621879, -0.6465073785197717]
[127, '2023-07-23', '12:08:23', '1690114103.365835', 3.341679e-05, -0.10629181928651121, -0.3062260234923144, -0.4222601717572587, -0.5277881932705526, -0.64974428009333]
[128, '2023-07-23', '12:28:56', '1690115336.632151', 3.341755e-05, -0.048750845873613, -0.27370983549764105, -0.3851932888033076, -0.523372837791598, -0.6520333630858204]
[129, '2023-07-23', '13:11:10', '1690117870.295301', 3.345029e-05, -0.1467710808308169, -0.371950468339179, -0.48354314474053695, -0.6218580716495268, -0.732637205996312]
[130, '2023-07-23', '13:31:33', '1690119093.035044', 3.345347e-05, -0.1353378039248554, -0.33715741562329526, -0.4797195184765144, -0.5839570146474102, -0.7422134992456364]
[131, '2023-07-23', '14:14:04', '1690121644.043352', 3.3444820000000003e-05, -0.10944600041378294, -0.3112134279997463, -0.4537386688416518, -0.5579492125217627, -0.697625765789553]
[132, '2023-07-23', '14:34:06', '1690122846.260833', 3.345707e-05, -0.16705411798120906, -0.37500803974171504, -0.5063584881063576, -0.6027155101926809, -0.7345087843147127]
[133, '2023-07-23', '15:17:08', '1690125428.191354', 3.344333e-05, -0.12591795980654297, -0.3337864799797359, -0.4650829859292003, -0.5614004365442753, -0.698397423175507]
[134, '2023-07-23', '15:36:48', '1690126608.024619', 3.3435609999999996e-05, -0.13523805579708892, -0.33853125658079364, -0.5532846930366304, -0.576717992512144, -0.6751523806481288]
[135, '2023-07-23', '16:20:15', '1690129215.36745', 3.339144e-05, -0.0029547367571751693, -0.20597937774256536, -0.4204491148943248, -0.4438514578884707, -0.6354453169901291]
[136, '2023-07-23', '16:39:22', '1690130362.181821', 3.338839e-05, -0.18957417647789043, -0.37840590542221264, -0.5043183044672901, -0.575659471422739, -0.6262531974464025]
[137, '2023-07-23', '17:23:29', '1690133009.823356', 3.334354e-05, -0.05499139480393467, -0.24356946961746928, -0.3693127328911885, -0.4405580685909882, -0.5776357919267241]
